nombre,categoria
bitcoin,payment
bitcoin-cash,payment
dai,payment
dash,payment
dogecoin,payment
litecoin,payment
monero,payment
nano,payment
ripple,payment
stellar,payment
tether,payment
zcash,payment
algorand,infrastructure
cardano,infrastructure
cosmos,infrastructure
eos,infrastructure
ethereum,infrastructure
ethereum-classic,infrastructure
icon,infrastructure
kusama,infrastructure
lisk,infrastructure
polkadot,infrastructure
tron,infrastructure
augur,financial
balancer,financial
gnosis,financial
kava,financial
melon,financial
chainlink,service
filecoin,service
storj,service
basic-attention-token,media&entretainment
